run_id,tags.mlflow.runName,metrics.f1,metrics.accuracy,metrics.roc_auc,params.C,params.max_iter,params.class_weight
4cfe07ee4e7a43e4be2e63b4f2d5ed5c,lr_c_5_balanced,0.484375,0.7755102040816326,0.7681109484021019,5.0,2000,balanced
a4ee9010e4fc4914a1ff320e5bd1b6a4,lr_c_2_balanced,0.484375,0.7755102040816326,0.768800068912051,2.0,1500,balanced
54d0e969496f44df9ebfd2628970392c,lr_c_1_balanced,0.47692307692307695,0.7687074829931972,0.7695753294857438,1.0,1000,balanced
0b0b4ad0c58c4a02a07532ed462e7889,lr_c_0_5_no_weights,0.38235294117647056,0.8571428571428571,0.7718149711430785,0.5,1000,None
9a95a991f934450c8475ee89fef89039,lr_c_0_1_no_weights,0.3492063492063492,0.8605442176870748,0.7721595313980532,0.1,500,None
